OutLook Express是个（），专门帮助用户处理有关电子邮件和电子新闻事务。 电子邮件搜索软件 电子邮件客户端软件 电子邮件撰写软件电子邮件服务器软件,7,False
关系模型中，一个二维表满足以下(  )条件，就可称为一个关系。 每一列的分量具有相同的数据类型 行、列的顺序是任意的 表中可以有子表表中可以出现重复行,6,False
Access 2010中，用于展示输出数据库内容的数据库对象是（）。 报表,6,False
在EXCEL2010中，符号^属于（）？ 算术运算符 比较运算符 文本运算符单元格引用符,4,False
汉字国标码在汉字处理系统中作为（）使用，不能直接应用于计算机中的汉字处理。 汉字输入码 机内码 汉字交换码汉字输出码,1,False
IP电话(Iphone)也称网络电话，是通过TCP/IP协议实现的一种电话应用。,7,False
有关Access 2010的说法，下列正确的是（）？ Access在任何时刻只能打开并运行一个数据库文件 表和报表都是Access的数据库对象，它们的功能是类似的，没有本质区别 窗体对象和报表对象都可实现数据的显示和编辑Access2010中定义了12种数据类型,6,False
Word2010的“打印预览”和打印设置在同一窗口中设置。,3,False
下列有关Word2010的叙述中，正确的是（）？ 为保护文档，用户可以设定以“只读”方式打开文档 打开多个文档窗口时，每个窗口内都有一个插入光标在闪烁 Word中的图片必须设置为浮动式才可实现图文混排文档编辑时可以设置自动保存文件的时间,3,False
关于计算机的发展，下列叙述错误的是（）？ 第一台真正意义上的电子计算机叫ENIAC 根据计算机所采用的主要元器件，计算机的发展分为四代 ENIAC把人类社会推向了第三次产业革命ENIAC内部采用二进制运算,1,False
计算机网络按地域划分，不包括（）？ 局域网 校园网 广域网城域网,7,False
以下关于Word 2010模板的叙述错误的是（）？ 模板的文件类型是.dotx 模板是某种文档格式的样板 可通过快速访问工具栏中的“新建”按钮使用已存在的模板创建新文档用户可以根据需要创建自己的模板,3,False
计算机字长取决于的（）宽度。 控制总线 数据总线 地址总线通信总线,1,False
网站中作为浏览起始点的特殊网页称为（）。 主页,7,False
用户不可以删除Windows 7桌面上的原有的程序图标。,2,False
将鼠标指针移到窗口的（）位置上拖曳，可以移动窗口？ 标题栏,2,False
在Excel 2010中，属于算术运算符的是（）。 ^ & <>÷,4,False
下列关于打印机的说法中，（）是不正确的。 使用打印机前必须安装驱动程序 所有打印机都可自动安装驱动程序 用户可在控制面板中添加打印机可以设置默认打印机,2,False
PowerPoint2010中母版分（）、讲义母版和备注母版三类？ 幻灯片母版,5,False
当一个网页同时设置了背景图片和背景颜色时，背景色将覆盖背景图片。,7,False
(  )查询用于从表中检索数据或进行计算，是最常用的查询类型。 选择,6,False
(  )视图是查询的视图的一种，其作用是查看查询对象所对应的SELECT命令。 SQL,6,False
Word 2010文档可以另存为Web网页。,3,False
在Excel2010工作表中，关于打印说法错误的是（）。 打印内容可以是整张工作表 可以将内容打印到文件 可以一次性打印多份不可以打印整个工作簿,4,False
以下有关Windows文件名的说法中，错误的是（）。 文件名不区分大小写 文件名区分大小写 文件可以没有扩展名文件的扩展名可以修改,2,False
下列四项中，不是合法IP地址的是（）？ 10．11．12．13 128．129．130．131 205．256．31．199198．47．26．243,7,False
计算机内部处理汉字信息时所用的汉字代码是（）。 汉字字形码 汉字输入码 汉字机内码汉字交换码,1,False
Access2010中创建数据库的方法有两种，一是基于模板创建，二是创建空白数据库。,6,False
存储8个标准的ASCII字符时需要（）个Byte。 8,1,False
Windows7中有关可执行文件和不可执行文件的说法中，错误的是（）。 扩展名为exe/com/bat的文件，称为可执行文件 扩展名为bat的批处理文件，提高了系统的效率 可执行文件具有交互性，不可执行文件不具有交互性扩展名为docx/pptx，是不可执行文件,2,False
下列有关操作系统的描述正确的是（）？ 计算机开机后，可以先运行其它软件再运行操作系统 Windows 7操作系统没有网络功能 Windows 7可以管理计算机系统的软硬件资源Windows 7自身带有防火墙,2,False
